tenure_months,tenure_years,tenure_bucket,tenure_quartile,monthly_charges,total_charges,avg_monthly_spend,charge_per_service,estimated_clv,monthly_charge_quartile,total_services,service_diversity,premium_service_count,risk_score,risk_factors_count,tenure_contract_interaction,gender_male,is_senior,has_partner,has_dependents,has_family,senior_alone,phone_service_flag,multiple_lines_flag,has_internet,internet_fiber,internet_dsl,online_security_flag,online_backup_flag,device_protection_flag,tech_support_flag,streaming_tv_flag,streaming_movies_flag,has_security_bundle,has_support_bundle,has_streaming_bundle,contract_length,is_month_to_month,has_long_contract,payment_electronic_check,payment_mailed_check,payment_bank_transfer,payment_credit_card,has_auto_payment,paperless_billing_flag,is_new_customer,is_established,is_loyal,is_high_value,spending_trend,risk_mtm,risk_new,risk_echeck,risk_no_support,risk_high_charge,risk_fiber,high_risk_flag,new_high_value,mtm_high_value,senior_mtm,fiber_no_support,churn,customer_id
1,0.08333333333333333,1,1,29.85,29.85,29.85,14.925,388.05000000000007,1,2,0.2222222222222222,1,7,3,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,7590-VHVEG
34,2.8333333333333335,4,3,56.95,1889.5,55.5735294117647,14.2375,2572.9,2,4,0.4444444444444444,2,0,0,34,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,5575-GNVDE
2,0.16666666666666666,1,1,53.85,108.15,54.075,13.4625,754.35,2,4,0.4444444444444444,2,5,2,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,3668-QPYBK
45,3.75,4,3,42.3,1840.75,40.90555555555556,10.575,2348.35,2,4,0.4444444444444444,3,0,0,45,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,7795-CFOCW
2,0.16666666666666666,1,1,70.7,151.65,75.825,35.35,1000.0500000000001,3,2,0.2222222222222222,0,10,6,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,9237-HQITU
8,0.6666666666666666,2,1,99.65,820.5,102.5625,16.608333333333334,2016.3000000000002,4,6,0.6666666666666666,3,6,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,9305-CDSKC
22,1.8333333333333333,3,2,89.1,1949.4,88.60909090909091,17.82,3018.6,3,5,0.5555555555555556,2,4,2,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,-1,1,0,0,0,0,1,0,0,1,0,1,0,1452-KIOVK
10,0.8333333333333334,2,2,29.75,301.9,30.189999999999998,14.875,658.9,1,2,0.2222222222222222,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6713-OKOMC
28,2.3333333333333335,4,2,104.8,3046.05,108.78750000000001,14.971428571428572,4303.65,4,7,0.7777777777777778,4,6,3,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,7892-POOKP
62,5.166666666666667,5,4,56.15,3487.95,56.25725806451613,14.0375,4161.75,2,4,0.4444444444444444,2,0,0,62,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6388-TABGU
13,1.0833333333333333,3,2,49.95,587.45,45.18846153846154,16.650000000000002,1186.8500000000001,2,3,0.3333333333333333,1,3,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,9763-GRSKD
16,1.3333333333333333,3,2,18.95,326.8,20.425,18.95,554.2,1,1,0.1111111111111111,0,1,1,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7469-LKBCI
58,4.833333333333333,5,4,100.35,5681.1,97.95,16.724999999999998,6885.3,4,6,0.6666666666666666,3,1,1,58,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,8091-TTVAX
49,4.083333333333333,5,3,103.7,5036.3,102.78163265306122,14.814285714285715,6280.700000000001,4,7,0.7777777777777778,4,4,2,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,-1,1,0,0,0,0,1,0,0,1,0,0,1,0280-XJGEX
25,2.0833333333333335,4,2,105.5,2686.05,107.44200000000001,15.071428571428571,3952.05,4,7,0.7777777777777778,5,6,3,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,5129-JLPIS
69,5.75,5,4,113.25,7895.15,114.42246376811593,12.583333333333334,9254.15,4,9,1.0,6,1,1,138,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3655-SNQYZ
52,4.333333333333333,5,3,20.65,1022.95,19.672115384615385,20.65,1270.75,1,1,0.1111111111111111,0,1,1,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,8191-XWSZG
71,5.916666666666667,5,4,106.7,7382.25,103.97535211267606,15.242857142857144,8662.65,4,7,0.7777777777777778,4,1,1,142,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,2,0,1,0,0,1,0,1,0,0,1,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,9959-WOFKT
